Book, Author, Type, Subject
"Sapiens: A Brief History of the Humankind", Yuval Noah Harari, Nonfiction, History
The Catcher in the Rye, "J. D. Salinger", Fiction, Literary novel
"Thinking, Fast and Slow", Daniel Kahneman, Nonfiction, Science book
To Kill a Mockingbird, Harper Lee, Fiction, Literary novel
Cosmos, Carl Sagan, Nonfiction, Science book
Adventures of Huckleberry Finn, Mark Twain, Fiction, Literary novel
The Great Gatsby, "F. Scott Fitzgerald", Fiction, Literary novel
Animal Farm, George Orwell, Fiction, Literary novel
Anthem, Ayn Rand, Fiction, Literary novel
The Godfather, Mario Puzo, Fiction, Novel
How to Think Like a Computer Scientist: Learning with Python, Allen B. Downey, Nonfiction, Programming
A Christmas Carol, Charles Dickens, Fiction, Literary novel
Daily Rituals: How Artists Work, Mason Currey, Nonfiction, General
Mind Map Mastery, Tony Buzan, Nonfiction, Manual
