Book, Author, Type, Subject
The Great Gatsby, "F. Scott Fitzgerald", Fiction, Literary novel
Anthem, Ayn Rand, Fiction, Literary novel
The Catcher in the Rye, "J. D. Salinger", Fiction, Literary novel
Adventures of Huckleberry Finn, Mark Twain, Fiction, Literary novel
Cosmos, Carl Sagan, Nonfiction, Science book
To Kill a Mockingbird, Harper Lee, Fiction, Literary novel
"Sapiens: A Brief History of the Humankind", Yuval Noah Harari, Nonfiction, History
Animal Farm, George Orwell, Fiction, Literary novel
A Christmas Carol, Charles Dickens, Fiction, Literary novel
"Thinking, Fast and Slow", Daniel Kahneman, Nonfiction, Science book
The Godfather, Mario Puzo, Fiction, Novel
Mind Map Mastery, Tony Buzan, Nonfiction, Manual
Daily Rituals: How Artists Work, Mason Currey, Nonfiction, 
How to Think Like a Computer Scientist: Learning with Python, Allen B. Downey, Nonfiction, Programming
